Pango.lineage	APES	Collection.date	APESS	APESS.
2	A.18	0	2020-07-27	0	0.000684460738124483
3	A.19	0	2021-01-13	0	0.00125596160323057
4	A.2.2	0	2020-03-31	0	0.000767481210160279
5	A.2.4	0	2020-03-14	0	-0.000649990147690243
11	A.23	0	2020-08-15	0	-0.000764991270463629
12	A.23.1	0	2021-04-16	0	-0.00543235549316199
13	A.24	0.0521	2020-07-10	7e-04	-0.00435548547568685
14	A.27	-1.0119	2021-04-09	-0.0124	-0.0489706701573134
19	AA.1	0	2021-01-15	0	1.26513726770446e-06
20	AA.2	0	2020-12-15	0	0.000607601860154947
21	AA.3	0	2020-11-23	0	0.000607601860154947
22	AA.4	0	2021-01-20	0	0.000607601860154947
23	AA.5	0	2021-02-06	0	0.000607601860154947
24	AA.6	0	2020-12-29	0	0.000607601860154947
25	AA.7	0	2020-11-06	0	0.000607601860154947
26	AA.8	0	2021-01-21	0	0.000607601860154947
27	AB.1	0.0672	2021-01-18	0.001	-0.0127861329418186
28	AC.1	0	2020-10-21	0	0.000684460738124483
29	AD.1	0	2020-12-07	0	0.000684460738124483
30	AD.2	0	2020-11-15	0	0.000684460738124483
31	AD.2.1	0	2021-02-04	0	0.000684460738124483
32	AE.1	0	2020-07-12	0	0.000684460738124483
33	AE.2	0	2020-10-14	0	0.000684460738124483
34	AE.3	0	2020-08-01	0	0.000684460738124483
35	AE.4	0	2020-06-23	0	0.000684460738124483
36	AE.5	0	2020-08-15	0	0.000684460738124483
37	AE.6	0	2020-11-16	0	0.000684460738124483
38	AE.7	0	2020-10-13	0	0.00113214360197991
39	AE.8	0	2021-01-29	0	0.000684460738124483
40	AF.1	0	2020-12-02	0	0.000684460738124483
42	AH.1	0	2021-01-19	0	0.00119738004575376
43	AH.2	0	2020-12-16	0	0.000621858667778985
44	AH.3	0	2021-02-27	0	0.000464765870255452
45	AJ.1	0	2021-02-01	0	0.00124526773481395
46	AK.1	0	2020-11-01	0	0.000698543320905752
47	AK.2	0	2020-10-06	0	0.000632536839296833
48	AL.1	0	2020-12-22	0	0.000684460738124483
49	AM.1	0	2021-01-18	0	-0.00202448058626185
50	AM.2	0	2020-11-24	0	0.00103649057033397
51	AM.3	0	2020-12-03	0	0.000684460738124483
53	AN.1	0	2020-10-21	0	0.000684460738124483
54	AP.1	-0.3337	2020-11-14	-0.0031	0.00219847922284994
55	AQ.1	0	2020-12-04	0	0.000550313754866613
56	AQ.2	0	2020-08-31	0	0.00140409773126004
57	AS.1	0	2020-11-08	0	0.000591284784478709
58	AS.2	0	2021-01-13	0	-0.00230063687633358
60	AU.1	-0.7015	2021-03-03	-9e-04	-0.0118535691532864
61	AU.2	-0.7015	2021-05-06	-9e-04	-0.0193126906858085
62	AU.3	-0.7015	2021-04-06	-9e-04	-0.0166037493614222
64	AW.1	0	2021-02-19	0	0.000315461129093676
76	AY.105	-1.3188	2021-12-18	-0.0177	-0.0608274045247006
78	AY.107	-1.3188	2021-08-18	-0.0177	-0.0609765996118134
86	AY.112.2	-2.167	2021-11-21	-0.0193	-0.0668580356368542
93	AY.118	-1.3188	2021-10-11	-0.0177	-0.0607002938236369
110	AY.123	-1.3188	2021-08-20	-0.0177	-0.0607771527016065
111	AY.123.1	-1.3188	2021-11-27	-0.0177	-0.0606845965783728
132	AY.16.1	-1.3188	2021-08-23	-0.0177	-0.0640863414136073
152	AY.26	-1.3188	2021-07-24	-0.0177	-0.0591978015218812
161	AY.3.2	-1.3188	2021-09-03	-0.0177	-0.0606549007281354
163	AY.30	-1.3188	2021-07-09	-0.0177	-0.0563805712739528
172	AY.34.2	-1.3188	2021-09-20	-0.0177	-0.0599125391702263
177	AY.38	-1.3188	2021-08-11	-0.0177	-0.0607002938236369
183	AY.39.1.4	-1.3188	2021-10-08	-0.0177	-0.0591790917462754
203	AY.4.4	-1.3188	2021-10-04	-0.0177	-0.060622270062291
210	AY.41	-1.4324	2021-08-20	-0.0194	-0.0613905608110778
224	AY.45	-1.3188	2021-04-01	-0.0177	-0.0607021211446794
226	AY.46.1	-1.3188	2021-10-14	-0.0177	-0.0615190535178266
227	AY.46.2	-1.3188	2021-10-06	-0.0177	-0.0607002938236369
241	AY.5.5	-1.3188	2021-08-27	-0.0177	-0.0614570748340559
245	AY.51	-1.3188	2021-08-17	-0.0177	-0.0607002938236369
249	AY.55	-1.3188	2021-05-05	-0.0177	-0.0607002938236369
250	AY.56	-1.3188	2021-04-29	-0.0177	-0.0607002938236369
264	AY.69	-1.3188	2021-07-31	-0.0177	-0.0615339337120254
268	AY.70	-1.3188	2021-08-24	-0.0177	-0.0593514061619013
274	AY.75.2	-0.6783	2021-05-07	-0.0093	-0.0500199967400116
287	AY.86	-1.3188	2021-08-05	-0.0177	-0.0607002938236369
289	AY.88	0	2021-07-25	0	-0.00492461994236839
314	B.1	0	2020-04-07	0	0.000684460738124483
315	B.1.1	0	2022-02-19	0	-0.00340999806801371
316	B.1.1.1	0	2020-07-13	0	0.000458304256494598
317	B.1.1.10	0	2020-04-20	0	0.000684460738124483
318	B.1.1.100	0	2020-10-12	0	0.000717253096511562
319	B.1.1.101	0	2020-10-05	0	-0.00199449342514136
320	B.1.1.107	0	2020-06-24	0	0.000684460738124483
321	B.1.1.109	0	2020-06-09	0	0.000684460738124483
322	B.1.1.110	0	2020-04-18	0	0.000684460738124483
323	B.1.1.111	0	2020-06-03	0	0.000684460738124483
324	B.1.1.112	0	2020-06-08	0	0.000684460738124483
325	B.1.1.113	0	2020-04-30	0	0.000684460738124483
326	B.1.1.114	0	2020-04-12	0	0.000684460738124483
327	B.1.1.115	0	2020-07-12	0	0.000684460738124483
328	B.1.1.116	0	2020-12-21	0	0.000756992600489525
329	B.1.1.117	0	2020-06-11	0	0.000607601860154947
330	B.1.1.118	0	2020-06-18	0	0.000550313754866613
331	B.1.1.119	0	2021-08-07	0	0.000684460738124483
332	B.1.1.12	0	2021-01-03	0	0.000684460738124483
333	B.1.1.120	0	2020-06-07	0	0.00102050766297234
